Wed Jul 10 16:30:04 IST 2019	Query fired:-----SELECT distinct wfl.workflow_key,wfl.workflow_name,cln.client_name,cat.category_key,cat.category_name,wfl.create_date,tsk.workflow_task_key,tsk.task_caption,tsk.task_caption,tsk.sla,tsk.sla_type,tsk.submit_date,tsk.task_status_caption,usr.user_first_name +' ('+ usr.user_id +')',tsk.last_modified_date FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own,adm_teams team, adm_users usr,mas_clients cln, wfl_workflow_category_datapoints dp, wfl_workflow_datapoint_values val where wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and (own.team_code in ('SGSALES','HKSALES','SG PROD TEAM','MY TEAM','g','g','RST','RPTeam','CTM') and own.team_code = team.team_short_code) and tsk.task_status_caption = 'pending' and own.picked_up = 'no' and tsk.submit_date is NOT NULL and usr.user_id = wfl.create_user and cat.is_ready = 1 and cat.category_is_completed = 0 and ( wfl.workflow_key = val.workflow_key and val.workflow_key = dp.workflow_key and dp.data_type = 'CLN_DRP' and dp.data_point_key = val.datapoint_key and dp.category_key = val.category_key and dp.category_key = 0 and val.datapoint_value = cast(cln.client_key as string) and wfl.workflow_is_active = 1) and team.team_is_active = 1 ORDER BY tsk.submit_date ASC
Wed Jul 10 16:30:04 IST 2019	Query fired:-----SELECT distinct wfl.workflow_key,opp.opp_name FROM wfl_workflows wfl ,wfl_workflow_datapoint_values val, wfl_workflow_category_datapoints dp, opp_opportunities opp where wfl.workflow_key = dp.workflow_key and dp.data_type = 'OPP_DRP' and dp.data_point_key = val.datapoint_key and val.datapoint_value = opp.opp_key and dp.category_key = val.category_key and dp.category_key = 0 and wfl.workflow_key in (6384,6385,6388)
Wed Jul 10 16:30:05 IST 2019	Query fired:-----SELECT distinct wfl.workflow_key,wfl.workflow_name,prd.product_name,cat.category_key,cat.category_name,wfl.create_date,tsk.workflow_task_key,tsk.task_caption,tsk.task_caption,tsk.sla,tsk.sla_type,tsk.submit_date,tsk.task_status_caption,req.user_first_name +' ('+ req.user_id +')',own.picked_up,tsk.last_modified_date FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own, adm_users usr, prd_products prd, wfl_workflow_category_datapoints dp, wfl_workflow_datapoint_values val,adm_users req where wfl.workflow_type = 'POB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and ((own.user_id = 'apolson' and own.user_id = usr.user_id) or (own.picked_up_user_id = 'apolson' and own.picked_up_user_id = usr.user_id)) and tsk.task_status_caption = 'pending' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and ( wfl.workflow_key = val.workflow_key and val.workflow_key = dp.workflow_key and dp.data_type = 'PROD_DRP' and dp.data_point_key = val.datapoint_key and dp.category_key = val.category_key and dp.category_key = 0 and val.datapoint_value = cast(prd.product_key as string) and wfl.workflow_is_active = 1) and req.user_id = wfl.create_user ORDER BY tsk.submit_date ASC
Wed Jul 10 16:30:05 IST 2019	Query fired:-----SELECT distinct wfl.workflow_key,wfl.workflow_name,prd.product_name,cat.category_key,cat.category_name,wfl.create_date,tsk.workflow_task_key,tsk.task_caption,tsk.task_caption,tsk.sla,tsk.sla_type,tsk.submit_date,tsk.task_status_caption,usr.user_first_name +' ('+ usr.user_id +')',tsk.last_modified_date FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own,adm_teams team, adm_users usr,prd_products prd, wfl_workflow_category_datapoints dp, wfl_workflow_datapoint_values val where wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and (own.team_code in ('SGSALES','HKSALES','SG PROD TEAM','MY TEAM','g','g','RST','RPTeam','CTM') and own.team_code = team.team_short_code) and tsk.task_status_caption = 'pending' and own.picked_up = 'no' and tsk.submit_date is NOT NULL and usr.user_id = wfl.create_user and cat.is_ready = 1 and cat.category_is_completed = 0 and ( wfl.workflow_key = val.workflow_key and val.workflow_key = dp.workflow_key and dp.data_type = 'PROD_DRP' and dp.data_point_key = val.datapoint_key and dp.category_key = val.category_key and dp.category_key = 0 and val.datapoint_value = cast(prd.product_key as string) and wfl.workflow_is_active = 1) and team.team_is_active = 1 ORDER BY tsk.submit_date ASC
Wed Jul 10 16:30:06 IST 2019	Query fired:-----SELECT idea_key,idea_name,create_date FROM prd_ideas where create_user = 'apolson' order by create_date desc
Wed Jul 10 16:30:35 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'TLB'
Wed Jul 10 16:30:35 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'WFL'
Wed Jul 10 16:30:35 IST 2019	Query fired:-----SELECT lang_text_code,lang_text_value FROM cob_sys.sys_langs where lang_menu_code = 'MOD'
Wed Jul 10 16:30:35 IST 2019	Query fired:-----SELECT distinct workflow_task_key FROM wfl_workflow_category_tasks where workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and ((own.user_id = 'apolson') or (own.picked_up_user_id = 'apolson')) and tsk.task_status_caption = 'pending' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) < 0 ) or workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and (own.team_code in ('SGSALES','HKSALES','SG PROD TEAM','MY TEAM','g','g','RST','RPTeam','CTM')) and tsk.task_status_caption = 'pending' and own.picked_up = 'no' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) < 0 )
Wed Jul 10 16:30:35 IST 2019	Query fired:-----SELECT distinct workflow_task_key FROM wfl_workflow_category_tasks where workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and ((own.user_id = 'apolson') or (own.picked_up_user_id = 'apolson')) and tsk.task_status_caption = 'pending' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) >= 0 ) or workflow_task_key in (SELECT distinct tsk.workflow_task_key FROM wfl_workflows wfl, wfl_workflow_categories cat, wfl_workflow_category_tasks tsk, wfl_workflow_category_task_owners own WHERE wfl.workflow_type = 'COB' and wfl.workflow_key = cat.category_workflow_key and tsk.workflow_task_key = own.workflow_task_key and cat.category_key = tsk.category_key and (own.team_code in ('SGSALES','HKSALES','SG PROD TEAM','MY TEAM','g','g','RST','RPTeam','CTM')) and tsk.task_status_caption = 'pending' and own.picked_up = 'no' and tsk.submit_date is NOT NULL and cat.is_ready = 1 and cat.category_is_completed = 0 and wfl.workflow_is_active = 1 and tsk.is_active = 1 and own.is_active = 1 and DATEDIFF(MINUTE,CURRENT_TIME(),tsk.submit_date) >= 0 )
